hour,Personal Care,Household Activities,Caring For & Helping Household (HH) Members,Caring For & Helping Nonhousehold (NonHH) Members,Work & Work-Related Activities,Education,Consumer Purchases,Professional & Personal Care Services,Household Services,Government Services & Civic Obligations,Eating and Drinking,"Socializing, Relaxing, and Leisure","Sports, Exercise, and Recreation",Religious and Spiritual Activities,Volunteer Activities,Telephone Calls ,Data Codes,Traveling 
0,63758,1539,728,121,1520,65,160,15,,,986,9156,72,340,123,722,285,3028
1,104828,885,1291,167,3011,50,144,,,,700,10088,190,340,64,600,197,2432
2,126446,1106,1330,118,3582,35,221,,,,941,7744,223,235,60,449,340,1771
3,139997,1829,1293,78,5861,85,90,15,,,1038,7494,183,397,60,302,401,2304
4,780634,5838,3180,311,19383,360,96,60,,,3059,16675,1453,1424,148,253,1162,5722
5,725774,13690,4062,394,27795,469,240,145,,,8338,21609,3849,2278,304,95,2202,12301
6,600774,33226,12513,851,47704,1054,988,595,7,20,21788,37237,7100,3594,945,328,5343,27129
7,428403,58780,20251,1866,85664,5118,2683,1358,108,186,37763,59181,10687,5075,2536,736,8569,43839
8,266648,84071,19412,3900,133933,10985,7755,3939,521,626,45852,81838,14018,9821,5090,1746,9177,43118
9,151044,104055,19206,5459,160990,14317,15495,6096,886,812,37792,107198,15762,15780,8708,2702,9530,41777
10,86169,111102,18785,6939,168909,15407,23738,6512,1273,795,29566,125952,16253,23099,10788,3676,9851,45550
11,56913,107774,18270,8477,163082,15080,28883,6394,1287,810,45318,136743,14879,23760,9788,3683,10107,47014
12,46044,97447,17117,8298,136791,13248,31413,5492,1136,590,85251,149382,14689,11893,7522,3345,8156,56584
13,48842,94252,16226,8044,157334,14524,31302,5516,982,430,52294,170155,15224,6810,7584,3631,8265,51671
14,50720,89959,19873,8877,162021,12370,30982,5010,861,585,31504,189024,14734,3907,7210,3727,8698,51864
15,48820,91926,24008,9424,146893,8924,26551,5175,764,706,23780,205218,15469,3336,6526,4494,8923,59474
16,43603,104217,24887,9255,117460,7652,23656,3981,580,440,30107,218660,16157,4806,6226,4434,8284,63878
17,36650,108129,24565,7293,73456,6142,21293,2248,482,260,70100,224023,15515,5514,6619,5374,8103,67927
18,30731,91874,28204,5798,48767,6353,15715,1343,215,162,97030,256427,14609,5846,7421,6013,7279,52410
19,31374,68722,37261,5045,36524,7125,11229,562,116,0,69875,313115,13531,6806,7481,5886,7123,37744
20,34040,46655,34506,4155,30101,6867,6836,270,51,10,37900,354024,9241,5271,5710,6600,7870,26816
21,41577,29302,18238,2693,23831,4941,3306,252,10,50,17312,322038,4763,2694,3076,5902,5623,21373
22,35306,14254,6711,1017,13631,3011,1279,142,,,7251,176168,1932,1777,1017,3909,3391,13553
23,12333,4001,1428,267,2509,641,342,47,,,1876,32443,365,665,100,928,526,5513
